id,day,month,dom,year,avg_pace,distance,Duration,est_calories
1,Friday,March,5,2010,8`13``,2.69,22:08,334
2,Sunday,March,7,2010,10`56``,3.04,33:13,377
3,Monday,March,8,2010,7`00``,2.64,18:32,328
4,Wednesday,March,10,2010,7`29``,4.36,32:40,541
5,Friday,March,12,2010,7`33``,4.13,31:10,512
6,Monday,March,15,2010,7`49``,3.98,31:12,494
7,Tuesday,March,16,2010,8`36``,5.01,43:05,621
8,Wednesday,March,17,2010,7`17``,4.44,32:21,551
9,Friday,March,19,2010,7`16``,4.49,32:39,557
10,Monday,March,22,2010,7`31``,4.4,33:04,546
11,Wednesday,March,24,2010,8`57``,3.17,28:27,393
12,Monday,March,29,2010,7`18``,4.34,31:44,539
13,Tuesday,March,30,2010,8`26``,3.13,26:24,388
14,Wednesday,March,31,2010,7`17``,4.26,31:04,528
15,Friday,April,2,2010,7`35``,6.21,47:08,770
16,Monday,April,5,2010,7`07``,0.33,02:22,41
17,Monday,April,5,2010,7`34``,6.28,47:35,780
18,Tuesday,April,6,2010,9`15``,4.05,37:33,503
19,Wednesday,April,7,2010,7`23``,4.28,31:40,532
20,Friday,April,9,2010,7`37``,6.04,46:06,750
21,Monday,April,12,2010,7`28``,4.36,32:38,542
22,Tuesday,April,13,2010,7`38``,4.32,32:59,536
23,Friday,April,16,2010,7`33``,6.06,45:47,752
24,Monday,April,19,2010,7`24``,6.12,45:19,759
25,Wednesday,April,21,2010,7`09``,4.45,31:51,552
26,Saturday,April,24,2010,8`53``,4.03,35:49,500
27,Monday,April,26,2010,7`09``,5.05,36:11,627
28,Wednesday,April,28,2010,6`56``,4.39,30:28,544
29,Monday,May,3,2010,6`53``,4.02,27:43,499
30,Wednesday,May,5,2010,7`15``,4,29:02,497
31,Saturday,May,8,2010,7`21``,3.25,23:55,404
32,Monday,May,10,2010,7`17``,5.36,39:00,665
33,Wednesday,May,12,2010,7`25``,4.26,31:41,529
34,Saturday,November,27,2010,8`09``,3.12,25:28,392
35,Sunday,November,28,2010,8`01``,3.11,24:59,393
36,Monday,November,29,2010,7`52``,3.12,24:36,394
37,Tuesday,November,30,2010,8`04``,4.01,32:23,506
38,Tuesday,November,30,2010,8`07``,1.02,08:18,129
39,Wednesday,December,1,2010,8`09``,3.11,25:25,392
40,Saturday,December,4,2010,8`01``,3.12,25:01,393
41,Sunday,December,5,2010,7`59``,3.11,24:54,393
42,Monday,December,6,2010,7`54``,3.12,24:38,394
43,Tuesday,December,7,2010,7`39``,3.13,23:59,397
44,Wednesday,December,8,2010,7`59``,3.15,25:13,398
45,Saturday,December,11,2010,7`54``,3.51,27:43,443
46,Sunday,December,12,2010,7`46``,3.12,24:14,394
47,Monday,December,13,2010,7`43``,3.11,24:02,394
48,Tuesday,December,14,2010,7`56``,4,31:47,505
49,Wednesday,December,15,2010,7`52``,3.11,24:29,393
50,Saturday,December,18,2010,7`44``,3.12,24:08,395
51,Sunday,December,19,2010,7`54``,4.01,31:40,506
52,Monday,December,20,2010,7`34``,3.12,23:38,396
53,Tuesday,December,21,2010,7`45``,3.12,24:13,394
54,Wednesday,December,22,2010,7`48``,3.12,24:19,394
55,Saturday,December,25,2010,7`52``,3.1,24:29,392
56,Sunday,December,26,2010,7`56``,3.12,24:45,393
57,Monday,December,27,2010,7`59``,4.11,32:48,518
58,Tuesday,December,28,2010,7`51``,5.02,39:28,634
59,Wednesday,December,29,2010,7`38``,3.12,23:53,396
60,Sunday,January,2,2011,8`00``,3.11,24:56,393
61,Monday,January,3,2011,7`58``,3.11,24:50,393
62,Tuesday,January,4,2011,7`57``,4.01,31:52,505
63,Wednesday,January,5,2011,7`46``,4,31:08,507
64,Saturday,January,8,2011,7`45``,4.01,31:10,507
65,Sunday,January,9,2011,7`46``,4.01,31:12,507
66,Monday,January,10,2011,7`42``,4.01,30:54,507
67,Tuesday,January,11,2011,7`37``,3.11,23:44,394
68,Wednesday,January,12,2011,7`31``,3.11,23:24,395
69,Sunday,January,16,2011,7`49``,3.2,25:02,404
70,Monday,January,17,2011,7`49``,6.23,48:40,787
71,Tuesday,January,18,2011,7`45``,4.01,31:09,508
72,Wednesday,January,19,2011,7`49``,4.01,31:24,507
73,Saturday,January,22,2011,7`50``,3.11,24:25,394
74,Sunday,January,23,2011,7`56``,4.02,31:54,507
75,Monday,January,24,2011,7`51``,3.19,25:02,403
76,Tuesday,January,25,2011,7`52``,4.01,31:34,507
77,Wednesday,January,26,2011,7`50``,5.02,39:18,634
78,Saturday,January,29,2011,7`52``,4.02,31:38,508
79,Sunday,January,30,2011,7`45``,5.01,38:54,634
80,Monday,January,31,2011,7`35``,4,30:25,507
81,Wednesday,February,2,2011,7`51``,4.01,31:27,506
82,Sunday,February,6,2011,7`46``,4.01,31:12,507
83,Monday,February,7,2011,7`41``,4.02,30:54,509
84,Tuesday,February,8,2011,7`41``,4.01,30:53,508
85,Wednesday,February,9,2011,7`47``,3.11,24:17,394
86,Saturday,February,12,2011,7`58``,3.12,24:53,393
87,Sunday,February,13,2011,7`51``,3.12,24:29,393
88,Monday,February,14,2011,7`52``,4.01,31:31,506
89,Tuesday,February,15,2011,7`50``,4,31:20,504
90,Wednesday,February,16,2011,7`48``,3.11,24:17,393
91,Saturday,February,19,2011,7`41``,3.12,23:58,395
92,Sunday,February,20,2011,7`51``,4,31:24,505
93,Monday,February,21,2011,7`41``,4.1,31:34,519
94,Tuesday,February,22,2011,7`38``,4.01,30:38,508
95,Tuesday,March,1,2011,7`56``,4.01,31:53,506
96,Wednesday,March,2,2011,7`54``,4.11,32:32,519
97,Wednesday,March,2,2011,7`56``,3.13,24:46,393
98,Saturday,March,5,2011,7`56``,3.12,24:43,393
99,Sunday,March,6,2011,7`53``,5.02,39:36,634
100,Monday,March,7,2011,7`53``,4.51,35:32,569
101,Tuesday,March,8,2011,7`37``,4.51,34:22,572
102,Wednesday,March,9,2011,7`35``,4.01,30:24,508
103,Sunday,March,13,2011,7`54``,5,39:29,631
104,Monday,March,14,2011,7`52``,4.02,31:40,507
105,Tuesday,March,15,2011,7`56``,4.01,31:49,506
106,Wednesday,March,16,2011,7`48``,4.01,31:20,507
107,Saturday,March,19,2011,7`50``,4,31:26,506
108,Sunday,March,20,2011,7`53``,7.01,55:21,883
109,Monday,March,21,2011,7`51``,3.12,24:31,393
110,Tuesday,March,22,2011,7`42``,4.01,30:54,507
111,Wednesday,March,23,2011,8`01``,0.42,3:25,54
112,Wednesday,March,23,2011,7`40``,4.01,30:47,508
113,Sunday,March,27,2011,7`53``,5.01,39:32,632
114,Monday,March,28,2011,7`44``,6.21,48:03,785
115,Wednesday,March,30,2011,7`46``,5.01,38:56,633
116,Saturday,April,2,2011,7`49``,6.01,47:04,759
117,Sunday,April,3,2011,7`47``,5.01,39:06,634
118,Monday,April,4,2011,7`31``,6.22,46:48,789
119,Tuesday,April,5,2011,7`47``,5.02,39:05,634
120,Wednesday,April,6,2011,7`42``,6.22,47:57,787
121,Saturday,April,9,2011,7`47``,5.01,39:01,633
122,Sunday,April,10,2011,7`55``,6.22,49:15,785
123,Monday,April,11,2011,7`48``,5.01,39:04,633
124,Tuesday,April,12,2011,7`53``,5.01,39:30,632
125,Wednesday,April,13,2011,7`39``,5,38:17,633
126,Wednesday,April,13,2011,7`50``,3.11,24:25,393
127,Sunday,April,17,2011,7`54``,5.01,39:37,632
128,Sunday,April,17,2011,8`07``,3.11,25:15,390
129,Monday,April,18,2011,7`38``,5.01,38:15,634
130,Saturday,April,23,2011,7`39``,5.01,38:23,634
131,Sunday,April,24,2011,7`40``,5.01,38:25,634
132,Monday,April,25,2011,7`30``,4.01,30:04,509
133,Tuesday,April,26,2011,7`56``,5.01,39:48,632
134,Wednesday,April,27,2011,7`41``,5.01,38:30,624
135,Saturday,April,30,2011,7`40``,6.21,47:42,786
136,Monday,May,2,2011,7`48``,6.22,48:37,786
137,Wednesday,May,4,2011,7`41``,6.22,47:47,787
138,Saturday,May,7,2011,7`44``,4.01,31:03,508
139,Sunday,May,8,2011,7`44``,5,38:46,632
140,Monday,May,9,2011,7`57``,5.01,39:53,631
